text,img_path,label
popsicle,popsicle_1750.png,Green
greasy pizza cardbox,greasy pizza cardbox.png,Green
fruit leftovers,fruit_leftovers_1077.png,Green
lipton tea bags,lipton_tea_bags_1362.png,Green
red bell pepper,red_bell_pepper_1796.png,Green
fruit seed,fruit_seed_1074.png,Green
grape stem,grape_stem_1111.png,Green
garlic peel,garlic_peel_1085.png,Green
tomato,tomato_2091.png,Green
dog hair,dog_hair_837.png,Green
napkin infused with meat blood,napkin_infused_with_meat_blood_1402.png,Green
old garlic,old_garlic_1437.png,Green
cucumber end,cucumber_end_702.png,Green
soy beans,soy_beans_1940.png,Green
leaves,leaves_1293.png,Green
orange peel,orange_peel_1556.png,Green
mushroom cap,mushroom_cap_1399.png,Green
hamburger,hamburger_1199.png,Green
cinamon,cinamon__624.png,Green
bones and meat,bones_and_meat_428.png,Green
avocado,avocado_118.png,Green
bones and meat,bones_and_meat_400.png,Green
paper,Paper_1588.png,Green
bones and meat,bones_and_meat_414.png,Green
avocado with two cores,avocado_with_two_cores_117.png,Green
bones and meat,bones_and_meat_399.png,Green
food leftover,food_leftover_1024.png,Green
piece of wine cork,piece_of_wine_cork_1708.png,Green
paper plate,paper_plate_1622.png,Green
fresh cabbage,fresh_cabbage_1048.png,Green
cracked egg,cracked_egg_684.png,Green
greasy popcorn envelope,greasy popcorn envelope.png,Green
clean cardboard food container,clean_cardboard_food_container_630.png,Green
vegetable scraps,vegetable_scraps_2264.png,Green
slice of bread,slice_of_bread_1889.png,Green
chocolate bar,chocolate_bar_614.png,Green
dead sunflower,dead_sunflower_715.png,Green
chopsticks,chopsticks_619.png,Green
dirty white napkin,dirty_white_napkin_798.png,Green
food soiled napkin,food_soiled_napkin_1026.png,Green
egg shells,egg_shells_950.png,Green
egg shells,egg_shells_944.png,Green
plantain peel,plantain_peel_1741.png,Green
apple core,apple_core_92.png,Green
pizza boz,Pizza_Boz_1731.png,Green
black beans,black_beans_389.png,Green
green bell pepper sliced in half,green_bell_pepper_sliced_in_half_1161.png,Green
green plant,green_plant_1184.png,Green
greasy pizza box,greasy_pizza_box_1149.png,Green
whole egg,whole_egg_2297.png,Green
view from top of an apple,view_from_top_of_an_apple_2266.png,Green
bread crust,bread_crust_472.png,Green
wooden cutlery,wooden_cutlery_2310.png,Green
sundar khani grapes,sundar_khani_grapes_2002.png,Green
onion peel,onion_peel_1471.png,Green
paper cup with food leftovers inside,paper_cup_with_food_leftovers_inside_1583.png,Green
greasy take out food container,greasy_take_out_food_container_1134.png,Green
oily paperbag,oily_paperbag_1418.png,Green
yellow potato peels,yellow_potato_peels_2332.png,Green
asparagus vegetable,asparagus_vegetable_108.png,Green
dried leaves,dried_leaves_850.png,Green
white purple turnip,white_purple_turnip_2292.png,Green
egg shell,egg_shell_909.png,Green
almonds,almonds_1.png,Green
parsley,parsley_1652.png,Green
spinach,spinach_1942.png,Green
grape leaves,grape_leaves_1124.png,Green
potato peel,potato_peel__1783.png,Green
potato peels,potato_peels_1778.png,Green
grass shaving,grass_shaving_1129.png,Green
avacodo pit,avacodo_pit_113.png,Green
tea bag,tea_bag_2035.png,Green
tea bag,tea_bag_2034.png,Green
potato peels,potato_peels_1779.png,Green
whole bread,whole_bread_2294.png,Green
spinach,spinach_1943.png,Green
chilli,chilli_600.png,Green
dirty piece of kitchen cloth,dirty_piece_of_kitchen_cloth_785.png,Green
egg shell,egg_shell_908.png,Green
yellow potato peels,yellow_potato_peels_2333.png,Green
roll of gauze,roll_of_gauze_1830.png,Green
coffee creamer pouch,coffee_creamer_pouch_657.png,Green
wooden cutlery,wooden_cutlery_2311.png,Green
amaryllis flower,amaryllis_flower_5.png,Green
spoiled pepper,spoiled_pepper_1958.png,Green
whole egg,whole_egg_2296.png,Green
greasy pizza box,greasy_pizza_box_1148.png,Green
rotting apple,rotting_apple_1865.png,Green
falafel,falafel_995.png,Green
loquat fruit,loquat_fruit_1365.png,Green
used lemon,used_lemon_2170.png,Green
mango peel fruit,mango_peel_fruit_1376.png,Green
avocado skin,avocado_skin_129.png,Green
egg shells,egg_shells_945.png,Green
chicken nuggets,chicken_nuggets_595.png,Green
rotten piece of carrot,rotten_piece_of_carrot_1849.png,Green
egg shells,egg_shells_951.png,Green
dead plant,dead_plant_721.png,Green
greasy pizza carton,greasy_pizza_carton_1152.png,Green
white rice,white_rice_2291.png,Green
frozen,Frozen_1068.png,Green
used teabag,used_teabag_2199.png,Green
zucchini peel,zucchini_peel_2341.png,Green
dirty hamburger cardbox container,dirty hamburger cardbox container.png,Green
leaf,leaf_1290.png,Green
true cardamom,true_cardamom_2112.png,Green
